PING 2.2.2.4 (2.2.2.4) 56(84) bytes of data.
64 bytes from 2.2.2.4: icmp_seq=82 ttl=64 time=0.080 ms
64 bytes from 2.2.2.4: icmp_seq=83 ttl=64 time=0.097 ms
64 bytes from 2.2.2.4: icmp_seq=84 ttl=64 time=0.094 ms
64 bytes from 2.2.2.4: icmp_seq=85 ttl=64 time=0.095 ms
64 bytes from 2.2.2.4: icmp_seq=86 ttl=64 time=0.088 ms
64 bytes from 2.2.2.4: icmp_seq=87 ttl=64 time=0.104 ms
64 bytes from 2.2.2.4: icmp_seq=88 ttl=64 time=0.091 ms
64 bytes from 2.2.2.4: icmp_seq=89 ttl=64 time=0.111 ms
64 bytes from 2.2.2.4: icmp_seq=90 ttl=64 time=0.077 ms
64 bytes from 2.2.2.4: icmp_seq=91 ttl=64 time=0.106 ms
64 bytes from 2.2.2.4: icmp_seq=92 ttl=64 time=0.070 ms
64 bytes from 2.2.2.4: icmp_seq=93 ttl=64 time=0.112 ms
64 bytes from 2.2.2.4: icmp_seq=94 ttl=64 time=0.076 ms
64 bytes from 2.2.2.4: icmp_seq=95 ttl=64 time=0.093 ms
64 bytes from 2.2.2.4: icmp_seq=96 ttl=64 time=0.079 ms
64 bytes from 2.2.2.4: icmp_seq=97 ttl=64 time=0.098 ms
64 bytes from 2.2.2.4: icmp_seq=98 ttl=64 time=0.076 ms
64 bytes from 2.2.2.4: icmp_seq=99 ttl=64 time=0.094 ms
64 bytes from 2.2.2.4: icmp_seq=100 ttl=64 time=0.090 ms
64 bytes from 2.2.2.4: icmp_seq=101 ttl=64 time=0.091 ms
64 bytes from 2.2.2.4: icmp_seq=102 ttl=64 time=0.073 ms
64 bytes from 2.2.2.4: icmp_seq=103 ttl=64 time=0.092 ms
64 bytes from 2.2.2.4: icmp_seq=104 ttl=64 time=0.077 ms
64 bytes from 2.2.2.4: icmp_seq=105 ttl=64 time=0.087 ms
64 bytes from 2.2.2.4: icmp_seq=106 ttl=64 time=0.069 ms
64 bytes from 2.2.2.4: icmp_seq=107 ttl=64 time=0.087 ms
64 bytes from 2.2.2.4: icmp_seq=108 ttl=64 time=0.067 ms
64 bytes from 2.2.2.4: icmp_seq=109 ttl=64 time=0.094 ms
64 bytes from 2.2.2.4: icmp_seq=110 ttl=64 time=0.072 ms
64 bytes from 2.2.2.4: icmp_seq=111 ttl=64 time=0.091 ms
64 bytes from 2.2.2.4: icmp_seq=112 ttl=64 time=0.076 ms
64 bytes from 2.2.2.4: icmp_seq=113 ttl=64 time=0.095 ms
64 bytes from 2.2.2.4: icmp_seq=114 ttl=64 time=0.072 ms
64 bytes from 2.2.2.4: icmp_seq=115 ttl=64 time=0.106 ms
64 bytes from 2.2.2.4: icmp_seq=116 ttl=64 time=0.080 ms
64 bytes from 2.2.2.4: icmp_seq=117 ttl=64 time=0.090 ms
64 bytes from 2.2.2.4: icmp_seq=118 ttl=64 time=0.079 ms
64 bytes from 2.2.2.4: icmp_seq=119 ttl=64 time=0.089 ms
64 bytes from 2.2.2.4: icmp_seq=120 ttl=64 time=0.070 ms
64 bytes from 2.2.2.4: icmp_seq=121 ttl=64 time=0.098 ms
